store_id,product_id,mae,avg_daily_units,mae_pct
S01,P01,16.47,86.93,18.9
S01,P02,20.77,106.79,19.4
S01,P03,8.32,54.5,15.3
S01,P04,16.69,74.79,22.3
S01,P05,4.82,36.57,13.2
S01,P06,6.58,47.29,13.9
S01,P07,22.27,119.36,18.7
S01,P08,10.9,59.14,18.4
S02,P01,12.82,82.43,15.6
S02,P02,14.09,111.57,12.6
S02,P03,10.79,67.21,16.1
S02,P04,11.98,84.86,14.1
S02,P05,6.47,39.71,16.3
S02,P06,4.9,39.71,12.3
S02,P07,17.49,88.93,19.7
S02,P08,11.33,51.14,22.2
S03,P01,9.66,74.86,12.9
S03,P02,15.6,108.43,14.4
S03,P03,7.41,50.5,14.7
S03,P04,13.99,85.29,16.4
S03,P05,5.69,30.64,18.6
S03,P06,7.86,44.07,17.8
S03,P07,14.82,86.5,17.1
S03,P08,5.92,45.79,12.9
